Nome do Funcionário,Identificação do Funcionário,Salário Base,Horas Trabalhadas,Deduções de Impostos,Benefícios,Salário Líquido
Jennifer Baker,980980,6792.65,227.5,262.8,317.85,-10740.58
Eric Williams,980684,6505.26,220.05,381.93,179.26,-18161.02
Morgan Valencia,980516,5941.67,198.49,586.15,203.24,-28682.19
Jacqueline Lopez,980744,7529.56,172.41,529.13,238.2,-32073.4
Jennifer Anderson,980746,4760.7,177.29,528.18,152.86,-20231.51
Kyle Watts,980463,3637.64,188.96,275.61,313.54,-6074.52
Robert Lee,980494,7381.42,190.02,257.37,120.87,-11495.27
Allison Wilson,980976,7695.42,194.28,519.46,340.64,-31938.57
Cynthia Moreno,980268,5328.14,165.73,353.76,208.51,-13312.18
Matthew Weaver,980243,7462.8,192.81,503.42,195.84,-29910.59
