Nome do Funcionário,Identificação do Funcionário,Salário Base,Horas Trabalhadas,Deduções de Impostos,Benefícios,Salário Líquido
Craig Gibson,980302,5939.71,221.49,443.54,120.95,-20284.33
Amanda Patel,980167,4555.4,233.54,427.44,452.59,-14463.61
Thomas Coffey,980129,4161.93,192.35,302.79,257.88,-8182.1
Priscilla Foster,980593,4494.38,224.33,465.48,402.67,-16023.39
Kristopher White,980290,7326.77,211.13,202.62,442.31,-7076.42
Mark Carter,980548,5175.11,216.11,264.35,219.49,-8285.8
Debra Young,980332,4671.04,239.41,524.83,262.55,-19581.43
Anne Gutierrez MD,980486,3647.86,174.38,548.47,197.55,-16162.01
Peter Salinas,980501,4378.35,164.68,230.57,178.1,-5538.71
Angela Garza,980810,4279.57,214.21,597.46,340.64,-20948.51
