Nome do Funcionário,Identificação do Funcionário,Salário Base,Horas Trabalhadas,Deduções de Impostos,Benefícios,Salário Líquido
Andrew Gutierrez,980529,3235.3,194.84,460.59,342.41,-11323.76
Angela Davis,980808,4322.46,214.15,459.1,340.82,-15181.13
Lisa Kennedy,980228,5176.69,223.51,561.31,498.82,-23381.77
Sarah Stone,980851,5544.79,234.79,201.45,243.84,-5381.35
Dr. Rebecca Sawyer,980378,3604.14,228.25,350.68,387.15,-8647.71
Courtney Martin,980592,4463.2,185.5,476.97,285.16,-16539.77
Frances Barnes,980414,6613.49,169.88,437.52,178.5,-22143.35
Alexander Mack,980315,3248.34,208.54,555.21,199.75,-14587.02
Carlos Pineda,980511,5488.38,168.9,313.16,426.16,-11272.87
David Sanchez,980941,7366.07,175.75,590.31,185.93,-35930.65
