Nome do Funcionário,Identificação do Funcionário,Salário Base,Horas Trabalhadas,Deduções de Impostos,Benefícios,Salário Líquido
Miranda Thomas,980226,3563.43,165.96,259.33,484.5,-5193.11
Nicole Christensen,980471,3983.57,162.47,553.44,359.95,-17703.15
John Smith,980691,4587.29,186.87,431.52,257.42,-14950.36
Steven Rowe,980224,4243.96,,297.97,306.22,-8095.55
Cindy Parker,980392,4431.01,164.68,584.78,345.58,-21135.07
Phyllis Kennedy,980206,4750.39,173.0,301.98,335.17,-9259.67
Jennifer Heath,980177,7877.36,180.56,386.39,180.43,-22379.54
Michael Johnson,980496,7645.19,199.71,408.23,395.52,-23169.25
Dennis Powell,980907,6214.32,198.21,331.35,459.38,-13917.45
Danielle Miller,980955,5260.78,200.96,385.34,219.11,-14792.0
