Nome do Funcionário,Identificação do Funcionário,Salário Base,Horas Trabalhadas,Deduções de Impostos,Benefícios,Salário Líquido
Joseph Salazar,980978,6567.01,223.42,568.85,283.47,-30505.96
Sandra Williams,980536,6782.93,222.27,308.64,337.51,-13814.4
Miss Andrea Rodriguez,980790,7514.29,208.65,290.75,325.14,-14008.37
Tammy Rodriguez,980628,3816.41,237.66,330.59,444.03,-8356.23
Mr. Frank Lawrence,980502,4871.11,182.3,557.36,409.95,-21868.56
Robert Reed,980436,3082.23,222.19,579.73,364.21,-14422.17
Stephen Roberts,980791,6100.96,197.32,379.65,238.02,-16823.31
Stephen Cohen,980868,3703.1,230.73,398.92,121.57,-10947.74
Ryan Green,980678,3629.58,203.72,455.95,288.69,-12630.8
Tammy Fuller,980261,7143.74,224.57,284.1,485.54,-12666.09
