Nome do Funcionário,Identificação do Funcionário,Salário Base,Horas Trabalhadas,Deduções de Impostos,Benefícios,Salário Líquido
Angela Dalton,980709,7662.5,170.93,269.8,184.99,-12825.93
Michael Lopez,980686,6453.83,235.86,342.31,477.97,-15160.31
Daniel Rodriguez,980532,3012.24,202.43,592.69,398.1,-14442.91
Michael Lee,980751,6751.95,232.54,285.38,251.54,-12265.22
Jeffery Arnold,980153,6606.71,187.5,296.31,456.4,-12513.23
David Parker,980896,3204.4,229.95,216.48,417.8,-3314.69
Kenneth Long,980893,5550.55,185.3,268.09,287.22,-9042.7
Anna Schwartz,980390,7050.39,185.5,443.81,273.23,-23966.72
Robert Perkins,980342,4250.65,167.72,513.66,480.71,-17102.53
Ronald Washington,980744,5840.59,163.34,597.34,446.46,-28601.13
