Nome do Funcionário,Cargo,Salário,Data de Admissão
Jade Johnson,Acupuncturist,5353.27,2022-12-15
Tom Jones,Corporate treasurer,6183.67,2021-11-10
Natalie Hickman,"Biochemist, clinical",6838.88,2021-11-19
Larry Nelson,Training and development officer,5815.36,2023-09-26
Mitchell Bridges,Claims inspector/assessor,6016.96,2023-08-28
Adam Pope,Dramatherapist,7372.9,2023-03-16
Nicole Small,"Engineer, maintenance (IT)",6842.32,2022-09-23
Jennifer Peterson,Legal executive,3430.15,2023-07-10
Mary Kennedy,"Nurse, learning disability",6444.55,2022-10-06
Jonathan Smith,Tree surgeon,3538.1,2023-02-03
