Nome do Funcionário,Cargo,Salário,Data de Admissão
Christina Russo,Geophysicist/field seismologist,7396.66,2023-08-01
Mary Wright,Arts development officer,4290.73,2022-11-09
Jessica Holt,Publishing rights manager,7734.4,2021-12-29
Justin Perez,Communications engineer,5909.94,2023-10-12
Edward Ortiz,Civil Service fast streamer,3594.56,2023-01-07
Michael Graham,Bonds trader,6486.04,2023-04-15
Barbara Swanson,"Geneticist, molecular",6473.66,2022-01-13
Philip Myers,Dietitian,4605.32,2023-03-27
Katie Velasquez,Electronics engineer,6075.06,2022-04-08
Adam Tyler,Police officer,5919.09,2022-01-29
