Nome do Funcionário,Cargo,Salário,Data de Admissão
John Schmidt,Materials engineer,3007.37,2021-11-21
Sean Sharp,Health physicist,4746.39,2023-07-14
James Moore,"Pilot, airline",6677.38,2023-10-27
Margaret Nelson,Waste management officer,6830.8,2022-12-10
Ryan Brown,Press photographer,7437.27,2023-07-03
Michael Ponce,Barista,7222.05,2023-10-19
Tamara Walker,Hotel manager,4606.83,2022-03-31
Renee Chambers,Market researcher,7343.58,2022-09-02
Lauren Willis,Training and development officer,6974.56,2022-09-17
David Bruce,"Engineer, drilling",4970.79,2023-02-02
