Nome do Funcionário,Cargo,Salário,Data de Admissão
James Brown,"Clinical scientist, histocompatibility and immunogenetics",5492.07,2021-12-30
Mr. Robert Savage,Landscape architect,5456.21,2023-10-30
Amanda Turner,Training and development officer,7571.48,2022-09-16
Steven Dickson,"Producer, television/film/video",7526.55,2022-08-23
Sarah Wade,"Engineer, chemical",5751.8,2023-10-25
William Osborn,"Buyer, retail",5762.7,2023-07-29
Mary Freeman,Energy engineer,5199.26,2023-02-22
Larry Lloyd DDS,Ranger/warden,5936.35,2023-08-20
Evan Novak,Minerals surveyor,7532.89,2023-05-16
Karen Hodge,Astronomer,5745.59,2023-01-02
