Nome do Funcionário,Cargo,Salário,Data de Admissão
Martin Castaneda,Freight forwarder,5149.94,2022-11-27
Megan Johnson,Aeronautical engineer,6471.73,2023-01-23
Karen Francis,"Producer, radio",4516.75,2022-06-09
James Johnson,Environmental manager,5624.43,2022-08-04
Mary Walls,"Scientist, forensic",4305.54,2023-06-17
Eric Palmer,Electrical engineer,4319.23,2023-01-15
Nancy Rivera,Health visitor,3882.61,2021-12-22
Sarah Skinner,"Solicitor, Scotland",7862.47,2022-12-22
Maria Durham,Ship broker,4430.77,2021-11-16
Deanna Thomas,Site engineer,7042.84,2023-06-25
