Nome do Funcionário,Cargo,Salário,Data de Admissão
Andrew Lane,"Engineer, broadcasting (operations)",5042.94,2022-06-18
Jane Price,"Designer, exhibition/display",4140.62,2023-05-18
Joseph Gibbs,Special effects artist,5856.04,2022-04-06
Michelle Martinez,Estate manager/land agent,4632.09,2022-05-29
Dustin Young,Emergency planning/management officer,7410.22,2023-04-18
Glenn Wright,"Administrator, local government",5608.55,2022-11-16
Luis Campos,Jewellery designer,6882.33,2023-01-01
Karen Ferguson,Theme park manager,3384.52,2023-06-09
Claudia Oconnor,Mental health nurse,3370.33,2023-04-24
Patricia Carter,Chiropodist,6827.71,2022-07-01
