Nome do Funcionário,Cargo,Salário,Data de Admissão
Mary Taylor,"Administrator, sports",7497.74,2022-01-15
Brian Greer,Photographer,6573.29,2022-12-19
Joanne Scott,Television/film/video producer,6650.27,2023-01-15
Victoria Rivera,Aid worker,6107.77,2023-05-01
Christopher Bailey,Environmental consultant,4771.94,2023-01-12
Kristi Thomas,Government social research officer,6715.98,2022-07-12
Jordan Scott,Cartographer,5105.28,2022-11-30
Kayla Davis,Risk analyst,6450.45,2021-12-04
Daniel Taylor,Magazine journalist,7082.67,2023-02-10
Monica Walton,"Surveyor, commercial/residential",3493.93,2023-04-01
