Nome do Funcionário,Cargo,Salário,Data de Admissão
Sandra Mitchell,Transport planner,3090.88,2022-07-10
Debra Johnson,Actuary,5428.23,2022-08-27
Ariana Guzman,Immunologist,3220.77,2022-09-29
Samuel Mccoy,Warehouse manager,5896.4,2022-05-03
Scott Shepherd,Data processing manager,7213.14,2022-12-27
Angela Wilson,Mechanical engineer,4127.3,2022-03-24
Amy Cox,"Designer, multimedia",3102.53,2022-09-29
Brian Blankenship,Clinical molecular geneticist,5158.74,2022-11-02
Dr. Lawrence Carson,"Civil engineer, consulting",5749.73,2022-02-27
Linda Clements,Equality and diversity officer,6184.27,2022-06-25
