Nome do Funcionário,Cargo,Salário,Data de Admissão
Michael Wright,Chartered management accountant,4873.69,2021-06-13
Joseph Blair,Energy engineer,3906.06,2021-07-30
Kendra Sanchez,Video editor,6730.02,2021-12-28
Matthew Wilson,Claims inspector/assessor,6779.79,2023-07-12
Charles Smith,Herbalist,7177.36,2021-05-02
Tammy Robinson DDS,Translator,7160.56,2023-05-29
Emily Price,Education administrator,6224.82,2023-09-25
Frederick Nichols,Police officer,4876.82,2022-12-20
Debra Ramirez,Arboriculturist,3269.96,2023-09-24
John Wade DDS,"Geneticist, molecular",5131.08,2020-11-11
